X,Y,temperatura
-4146651.032,16394199.26,-34
-4090991.287,16394199.26,-33.4
-4035331.541,16394199.26,-33
-3979671.796,16394199.26,-32.7
-3924012.05,16394199.26,-32.2
-3868352.305,16394199.26,-31.9
-3812692.56,16394199.26,-31.6
-3757032.814,16394199.26,-31.4
-3701373.069,16394199.26,-31
-3645713.323,16394199.26,-31
-3590053.578,16394199.26,-30.6
-3534393.833,16394199.26,-30.2
-3478734.087,16394199.26,-29.9
-3423074.342,16394199.26,-29.4
-3367414.596,16394199.26,-29.2
-3311754.851,16394199.26,-29
-3256095.106,16394199.26,-28.8
-3200435.36,16394199.26,-28.4
-3144775.615,16394199.26,-28
-3089115.87,16394199.26,-27.7
-3033456.124,16394199.26,-27.3
-2977796.379,16394199.26,-26.9
-2922136.633,16394199.26,-26.4
-2866476.888,16394199.26,-26
-2810817.143,16394199.26,-25.6
-2755157.397,16394199.26,-25.4
-2699497.652,16394199.26,-25.2
-2643837.906,16394199.26,-25
-2588178.161,16394199.26,-25.5
-2532518.416,16394199.26,-25.4
-2476858.67,16394199.26,-25.5
-2421198.925,16394199.26,-25.7
-2365539.179,16394199.26,-24.8
-2309879.434,16394199.26,-24.7
-2254219.689,16394199.26,-24.7
-2198559.943,16394199.26,-24.6
-2142900.198,16394199.26,-24.6
-2087240.452,16394199.26,-24.4
-2031580.707,16394199.26,-24.2
-1975920.962,16394199.26,-24
-1920261.216,16394199.26,-24
-1864601.471,16394199.26,-24
-1808941.725,16394199.26,-24.1
-1753281.98,16394199.26,-24.2
-1697622.235,16394199.26,-24.3
-1641962.489,16394199.26,-25.1
-1586302.744,16394199.26,-25.1
-1530642.998,16394199.26,-25.1
-1474983.253,16394199.26,-25.1
-1419323.508,16394199.26,-25
-1363663.762,16394199.26,-25
6094742.121,16394199.26,-22.4
6206061.612,16394199.26,-22.3
6261721.357,16394199.26,-22.4
6317381.103,16394199.26,-22.3
6373040.848,16394199.26,-22.1
6428700.593,16394199.26,-22.3
6484360.339,16394199.26,-22.5
6762659.066,16394199.26,-22.4
6818318.811,16394199.26,-22.4
6873978.556,16394199.26,-22.4
7152277.283,16394199.26,-22.4
7207937.029,16394199.26,-22.4
7263596.774,16394199.26,-22.4
10046584.04,16394199.26,-25.9
10102243.79,16394199.26,-25.8
10157903.53,16394199.26,-25.9
10491862.01,16394199.26,-26.2
10547521.75,16394199.26,-26.2
10603181.5,16394199.26,-26.2
10658841.24,16394199.26,-26.2
10714500.99,16394199.26,-26.3
-10658841.24,16038305.76,-36.8
-10603181.5,16038305.76,-36.8
-10547521.75,16038305.76,-35.1
-10491862.01,16038305.76,-34.8
-10436202.26,16038305.76,-34.5
-10380542.52,16038305.76,-35
-10324882.77,16038305.76,-40.2
-10269223.03,16038305.76,-40.6
-10213563.28,16038305.76,-33.9
-10157903.53,16038305.76,-34.8
-10102243.79,16038305.76,-38.6
-9935264.553,16038305.76,-38.5
